keyword,weight
python,50
c++,50
C language,50
javascript,4
sql,25
html,3
css,3
selenium,50
ciência da computação,3
rpa,50
jr,0.000000001
fullstack,0.000000001
front-end,0.000000001
back-end,0.000000001
oracle,0.000000001
pleno,0.000000001
senior,0.000000001
inteligencia artificial,0.000000001
machine learning,0.000000001
git,0.000000001
github,0.000000001
shell script,0.000000001
inglês intermediario,0.000000001
inglês básico,0.000000001
estruturas de dados,0.000000001
estatística,0.000000001
iniciação científica,0.000000001
metodologias ágeis,0.000000001
scrum,0.000000001
kanban,0.000000001
Lean,0.000000001
Extreme Programming,0.000000001
inglês técnico,0.000000001
Cython,50
postgresql,0.000000001
PL/SQL,0.000000001
mysql,0.000000001
mariadb,0.000000001
Microsoft Access,0.000000001
Oracle,0.000000001
SQLite,0.000000001
SQL Server,0.000000001
matplotlib,50
SQLAlchemy,50
BeautifulSoup,50
numpy,50
pandas,50
crawler,50
scraping,50
júnior,0.000000001
senior,0.000000001
pleno,0.000000001
databricks,0.000000001
MVC,0.000000001
cloud computing,0.000000001
full stack,0.000000001
BootStrap,0.000000001
ajax,0.000000001
jquery,0.000000001
